collected_videos_count,collection_time,influencer_id,id,nickname,followers,hearts
1.0,1674148803051.0,6.617417929003663e+18,30732329049,Shop Taly,82.0,19.0
1.0,1674150136905.0,6.815984173788202e+18,lhasagna,Lhasa Pereyra,93.0,120.0
1.0,1674148611175.0,6.900115939586409e+18,nrose.clothing,N’ROSÉ,2.0,3.0
1.0,1674150137974.0,6.960316202713138e+18,beyouth.clothing,beyouth.clothing,0.0,2.0
1.0,1674148633478.0,6.962774532813833e+18,hellolarosabyh,Larosa by H,11.0,2.0
1.0,1674148589196.0,6.967633738927392e+18,liin.vn,liin.vn,6.0,3.0
1.0,1674148672301.0,6.976996212911572e+18,d.d.e.t.s,ᴅᴅᴇᴛs,1365.0,3657.0
2.0,1674149839455.0,6.576208575977767e+18,hymyng,Hy My,2931.0,55600.0
2.0,1674148632054.0,6.674527069928146e+18,cozy.clubb,cozy.clubb,16.0,37.0
2.0,1674148603637.0,6.687500672067765e+18,31865110201,Venuco HN Sang,1.0,9.0
2.0,1674148596162.0,6.707482049462683e+18,curvyq.hn62,curvyq.hn,10.0,0.0
2.0,1674148978265.0,6.726035474073044e+18,hiuroom,Hiuroom,197.0,42.0
2.0,1674149750616.0,6.754928645448418e+18,shamong.vn,Sha Mông,90.0,7.0
2.0,1674149933624.0,6.802954890685744e+18,marchy.saigon,MARCHY saigon,1142.0,13000.0
2.0,1674149593721.0,6.807636483320415e+18,scstudiosvn,SOCIAL COMMITMENT,17.0,1.0
2.0,1674148655151.0,6.812246110141531e+18,letrantuongly,Bé Ly hay tò mò 🐼,158.0,588.0
2.0,1674148641029.0,6.822252263039813e+18,end.payce,END.PAYCE,2477.0,4830.0
2.0,1674149055992.0,6.888276220644673e+18,adore.dress,Marketing Phòng,2.0,3.0
2.0,1674148486798.0,6.960475295871616e+18,stressmama.brand,stressmama.brand,31.0,21.0
2.0,1674148724063.0,6.980688956695053e+18,tudocuanie,TudocuaNie,5.0,22.0
2.0,1674148700138.0,6.991277228055135e+18,foryoustore.vn,foryoustore.vn,3.0,3.0
3.0,1674148749184.0,6.583325297356194e+18,30348940393,Ebra Le,9508.0,30400.0
3.0,1674148637432.0,6.808398528588924e+18,giaogiaoday,giaogiaoday,283.0,6125.0
3.0,1674148602199.0,6.96053992547451e+18,olivace.studio,Olivace.studio,1.0,5.0
4.0,1674149122444.0,6.654823948566184e+18,anhtuyet_1609,Ánh Tuyết,220.0,1867.0
4.0,1674148496938.0,6.714534010624919e+18,happyzoo_store,happyzoo_store,3309.0,25600.0
4.0,1674148759944.0,6.741655772184315e+18,mihie_mihie,Mihie_mihie,50.0,224.0
4.0,1674148680541.0,6.803727380604585e+18,beautebyv123,Phùng Thảo Vân,4.0,11.0
4.0,1674149598475.0,6.871897084572861e+18,stitchstudio,stitchstudio,10.0,76.0
4.0,1674149926163.0,6.919403346194793e+18,rokeeoo,ROSIE,29.0,277.0
4.0,1674148831028.0,6.953782491451049e+18,dilyshoesofficial,dilyshoesofficial,1234.0,6657.0
4.0,1674149709881.0,6.954693242302662e+18,eumso.official,Eumso.Official,1.0,10.0
4.0,1674148522782.0,6.961426648575919e+18,zukyclothing,ZukyClothing,44.0,6.0
4.0,1674148465519.0,7.038500102822741e+18,philinh_,Đinh Ngọc Phi Linh,441.0,427.0
5.0,1674149167816.0,6.783527180153865e+18,embellshouse,EMBell's House,21.0,139.0
5.0,1674148587746.0,6.799845573953324e+18,misoakimanh,Misoa Kim Anh,4044.0,7124.0
5.0,1674148635752.0,6.808091728885892e+18,huongboutiqueofficial,HuongBoutique,5.0,8.0
5.0,1674148428619.0,6.840294768775661e+18,soleil_room20,Chi Thảo,6.0,74.0
5.0,1674148860539.0,7.01994654260596e+18,colkidsclub1010,Colkidsclub1010,4627.0,72100.0
6.0,1674149928017.0,65481424513.0,waffobia,Mike  ☀️,555.0,2171.0
6.0,1674149234780.0,6.685131896839685e+18,chithuocda,Chỉ Thuộc Da,157.0,482.0
6.0,1674148822381.0,6.696054063610955e+18,vhoangdiem,Hoàng Diễm,11900.0,54900.0
6.0,1674149018629.0,6.805815656598193e+18,nakedbyv,NAKEDBYV,354.0,326.0
6.0,1674148861883.0,6.940236505240012e+18,st2wear,ST2WEARSHOP,2.0,9.0
6.0,1674150996904.0,6.968387400659011e+18,douxria,ria🐣,15.0,27.0
7.0,1674148653105.0,6.643322430439834e+18,fusionism.vn,Fusionism.vn,1572.0,8492.0
7.0,1674149117440.0,6.664613089214005e+18,kyduyenbae,✨Kyduyenbae✨,729.0,1987.0
7.0,1674148896009.0,6.709422757451073e+18,popbirdy,POPBIRDY,17.0,77.0
7.0,1674148600038.0,6.836271639141074e+18,soyoungvn,soyoungvn,12500.0,65900.0
