collected_videos_count,collection_time,id,nickname,followers,hearts
1.0,1674148803051.0,30732329049,Shop Taly,82.0,19.0
1.0,1674150136905.0,lhasagna,Lhasa Pereyra,93.0,120.0
1.0,1674148611175.0,nrose.clothing,N’ROSÉ,2.0,3.0
1.0,1674150137974.0,beyouth.clothing,beyouth.clothing,0.0,2.0
1.0,1674148633478.0,hellolarosabyh,Larosa by H,11.0,2.0
1.0,1674148589196.0,liin.vn,liin.vn,6.0,3.0
1.0,1674148672301.0,d.d.e.t.s,ᴅᴅᴇᴛs,1365.0,3657.0
2.0,1674149839455.0,hymyng,Hy My,2931.0,55600.0
2.0,1674148632054.0,cozy.clubb,cozy.clubb,16.0,37.0
2.0,1674148603637.0,31865110201,Venuco HN Sang,1.0,9.0
2.0,1674148596162.0,curvyq.hn62,curvyq.hn,10.0,0.0
2.0,1674148978265.0,hiuroom,Hiuroom,197.0,42.0
2.0,1674149750616.0,shamong.vn,Sha Mông,90.0,7.0
2.0,1674149933624.0,marchy.saigon,MARCHY saigon,1142.0,13000.0
2.0,1674149593721.0,scstudiosvn,SOCIAL COMMITMENT,17.0,1.0
2.0,1674148655151.0,letrantuongly,Bé Ly hay tò mò 🐼,158.0,588.0
2.0,1674148641029.0,end.payce,END.PAYCE,2477.0,4830.0
2.0,1674149055992.0,adore.dress,Marketing Phòng,2.0,3.0
2.0,1674148486798.0,stressmama.brand,stressmama.brand,31.0,21.0
2.0,1674148724063.0,tudocuanie,TudocuaNie,5.0,22.0
2.0,1674148700138.0,foryoustore.vn,foryoustore.vn,3.0,3.0
3.0,1674148749184.0,30348940393,Ebra Le,9508.0,30400.0
3.0,1674148637432.0,giaogiaoday,giaogiaoday,283.0,6125.0
3.0,1674148602199.0,olivace.studio,Olivace.studio,1.0,5.0
4.0,1674149122444.0,anhtuyet_1609,Ánh Tuyết,220.0,1867.0
4.0,1674148496938.0,happyzoo_store,happyzoo_store,3309.0,25600.0
4.0,1674148759944.0,mihie_mihie,Mihie_mihie,50.0,224.0
